	sub	ses	task	run	desc	regressors	space	meanFD	relMeansRMSMotion	relMaxRMSMotion	meanDVInit	meanDVFinal	nVolCensored	nVolsRemoved	motionDVCorrInit	motionDVCorrFinal	coregDice	coregJaccard	coregCrossCorr	coregCoverage	normDice	normJaccard	normCrossCorr	normCoverage	medianFD	motionExclude	normCrossCorrExclude	fmriExclude
396	10979	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0869873780898876	0.7746012476406797	1.4765509577207283	80.96584127118645	80.96584127118645	0	2	0.6452652628315381	0.6452652628315381	0.924608369843348	0.8597875824165196	0.9152817835133766	0.9726687291076856	0.9358078928174676	0.87935992618385	0.9161301222404392	0.9706832594725304	0.058547	0	0	0
397	20445	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0459871341011235	0.1577212400337463	0.3363487176050623	36.82674186440678	36.82674186440678	0	2	0.55584389332501	0.55584389332501	0.8958837162094343	0.8114034086461948	0.8884286010973563	0.990519878893319	0.913339072616828	0.8405005182401042	0.8910082743164823	0.9864632009345794	0.0375153	0	0	0
398	20525	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0582113778651685	0.2605831534556103	0.6023224844267396	35.74549087570622	35.74549087570622	0	2	0.0795655299528646	0.0795655299528646	0.9134097737103736	0.8406202739641684	0.900724428316766	0.9662161962922444	0.9292936522340002	0.8679257895247812	0.9076820522019662	0.9659213285722384	0.0508842	0	0	0
399	21075	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0736576084269662	0.1520020815384633	0.6492778477608796	29.10853651412429	29.10853651412429	0	2	0.7276372047854363	0.7276372047854363	0.8921964650759523	0.8053742716546958	0.8834945902989407	0.9860834708795096	0.908251968031068	0.8319245296857237	0.884589345781691	0.9827678252892308	0.0564661	0	0	0
400	20006	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0724626266292134	0.3066256927840357	0.708141909936843	33.23231345762712	33.23231345762712	0	2	0.5747978704383856	0.5747978704383856	0.9142153362043632	0.8419858621031636	0.9032699692102244	0.9743841108162176	0.9236827187490932	0.8581881335915927	0.9014850506444056	0.9722913793520602	0.0571074	0	0	0
401	10951	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0631849269662921	0.2775282795726135	1.136303279908564	77.15513305649718	77.15513305649718	0	2	0.630386814261194	0.630386814261194	0.9292176853565046	0.867793269135078	0.9188550972611508	0.9708566112614864	0.9348000791503028	0.8775818143176579	0.9144363907483116	0.9652789113108202	0.0498207	0	0	0
402	11156	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0579591348314606	0.7123036699663455	1.381666834705458	76.83612566101695	76.83612566101695	0	2	0.0258745576736449	0.0258745576736449	0.9088407125203732	0.8329129605079242	0.8968131064318937	0.9567483307832974	0.915906823063632	0.8448598723330886	0.8874790924654071	0.9627148660577712	0.0507142	0	0	0
403	11156	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0468763699438202	0.0935950242249724	0.186920552227758	91.20330628248588	91.20330628248588	0	2	0.1806368939032742	0.1806368939032742	0.9408334595197312	0.8882771722500973	0.9323114635834509	0.9548074420713648	0.9497306503445438	0.9042734139162546	0.9328164573421864	0.9539008775842804	0.0426045	0	0	0
404	20041	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.3495907848314606	5.612118033515603	8.808379385058808	71.51548742937854	71.51548742937854	0	2	0.8076247170609703	0.8076247170609703	0.8853181168552299	0.7942338798559702	0.8702899181548922	0.957702574569604	0.8981754613746555	0.8151710457413074	0.869617672062451	0.9594470206583608	0.081072	0	0	0
405	20041	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.1202338353932584	0.3302914203671364	1.4844544612435908	38.3837146440678	38.3837146440678	0	2	0.7859167690771075	0.7859167690771075	0.8911736690893274	0.8037089706892255	0.8756659186105205	0.9636074831047234	0.9023166895315076	0.8220191387863938	0.8748670796404249	0.9623878164580512	0.0577856	0	0	0
